session_id,participant_id,win_start_ms,win_end_ms,label,valence_direction,arousal_level,reason,label_type,rmssd,mean_hr,sdnn,pnn50,n_beats,artefact_fraction,hrv_quality,rmssd_z,hr_z,arousal_hrv,rmssd_outside_norm_range,fer_valence,fer_arousal,fer_confidence,fer_dominant_emotion,face_coverage,fer_n,fer_quality,co2,co2_std,co2_n_samples,co2_quality,plant_n_samples,plant_mean,plant_median,plant_std,plant_detrend_std,plant_iqr,plant_min,plant_max,plant_range,plant_rms,plant_zcr,plant_sat_pos_frac,plant_sat_neg_frac,plant_const_flag,bp_0_1,bp_1_5,bp_5_15,bp_15_30,band_power_sum,ratio_bp1_5_bp5_15,ratio_bp1_5_total,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,spike_rate,plant_quality,plant_dead_flag,plant_suspect_flag,plant_mean_snorm,plant_median_snorm,plant_std_snorm,plant_detrend_std_snorm,plant_iqr_snorm,plant_min_snorm,plant_max_snorm,plant_range_snorm,plant_rms_snorm,plant_zcr_snorm,bp_0_1_snorm,bp_1_5_snorm,bp_5_15_snorm,bp_15_30_snorm,band_power_sum_snorm,ratio_bp1_5_bp5_15_snorm,ratio_bp1_5_total_snorm,hjorth_activity_snorm,hjorth_mobility_snorm,hjorth_complexity_snorm,spectral_entropy_snorm,spike_rate_snorm
2026-07-06_18-32_proband_10,proband_10,1783355554892,1783355584892,neutral,positive,neutral,hrv_ambiguous,proxy,38.05806966553436,74.57672668637463,45.60128811204216,13.88888888888889,37,0.0,ok,0.06134075539828657,-0.5942415175870095,-0.327791136492648,False,0.0,-0.12,0.585,Neutral,1.0,1,ok,748.8611111111111,0.4214514008223084,72,ok,3573,1.459675,1.459339,0.009127,0.009106,0.008002,1.363239,1.538447,0.175208,1.459703,0.233483,0.0,0.0,False,8.895472154396181e-06,1.2855976972993804e-05,1.3705866246398383e-05,8.148815936769532e-06,4.36061313105579e-05,0.9379907700749172,0.29482039088986384,8.328738670167614e-05,1.1245114380435135,1.5384879863978749,0.4068813803193322,0.04506017352364959,ok,False,False,-2.8114,-3.167,-1.3271,-1.3466,1.6116,0.5091,-2.2945,-2.9906,-2.8761,-3.5351,0.4276,5.716,1.1205,-3.09,0.7592,3.7388,5.9618,-1.3056,-5.2442,7.4232,-0.3626,-0.5442
2026-07-06_18-32_proband_10,proband_10,1783355584892,1783355614892,neutral,neutral,neutral,face_ambiguous+hrv_ambiguous,proxy,39.97363996300427,77.56948933419521,39.69188765914196,13.513513513513514,38,0.0263,ok,0.36495512522203627,0.44831643938643717,0.04168065708220045,False,-0.06515829316105487,-0.17829629264323316,0.5443557046979867,Neutral,1.0,149,ok,749.0555555555555,1.2988498583810943,72,ok,3591,1.460188,1.460064,0.009432,0.009432,0.007574,1.361596,1.551669,0.190073,1.460218,0.292758,0.0,0.0,False,9.265917154109468e-06,8.363883581949978e-06,1.157006037765346e-05,1.1630573697457237e-05,4.083043481117014e-05,0.72289016531097,0.20484433770510568,8.893789951185043e-05,1.3018876635588272,1.3350008173067676,0.4157309761964076,0.04483430799220273,ok,False,False,0.4223,0.0715,-0.5871,-0.5696,0.7123,0.3255,-1.0805,-1.3903,0.4009,0.1786,0.61,0.0524,-0.4872,-0.4615,-0.0082,0.7809,-0.026,-0.5877,-0.4041,0.3911,0.6239,-0.5854
2026-07-06_18-32_proband_10,proband_10,1783355614892,1783355644892,positive activated,positive,activated,clear,proxy,31.38838589718766,79.1061010580441,38.425410596208074,10.256410256410255,40,0.0,ok,-0.9957918577587046,0.9836100687171745,0.9897009632379395,False,0.3283036691300402,-0.10100484895630754,0.5142,Happiness,1.0,150,ok,792.1666666666666,47.412484241725096,72,ok,3598,1.460202,1.4601,0.009688,0.009682,0.007264,1.357778,1.554789,0.197011,1.460235,0.285794,0.0,0.0,False,8.411340215711378e-06,9.800402125719409e-06,1.2388033026591475e-05,1.2300795850726455e-05,4.290057121874872e-05,0.7911184377345432,0.22844455490587526,9.383275974669868e-05,1.2801203978737534,1.3531342671788757,0.39405569021426823,0.048360200111172875,ok,False,False,0.5106,0.2323,0.034,0.0262,0.0609,-0.1014,-0.794,-0.6434,0.509,-0.2577,0.1891,1.8635,0.1285,0.0445,0.5641,1.7191,1.5445,0.0342,-0.998,1.0178,-1.7923,0.058
2026-07-06_18-32_proband_10,proband_10,1783355644892,1783355674892,neutral,positive,neutral,hrv_ambiguous,proxy,40.92642449838762,75.55646314069838,42.222153074070135,27.77777777777778,37,0.0,ok,0.5159697221127437,-0.25294080102800665,-0.3844552615703752,False,0.10764960263295534,-0.11758897067265375,0.5157302631578947,Neutral,1.0,152,ok,1118.5774647887324,110.057733157496,71,ok,3566,1.460306,1.460363,0.010217,0.010207,0.008175,1.351483,1.567827,0.216344,1.460342,0.288079,0.0,0.0,False,1.0402051105898091e-05,8.280799567145597e-06,1.3571992499499003e-05,1.3592684892682498e-05,4.584752806522519e-05,0.6101387808247385,0.18061604923931407,0.00010435071228284536,1.3170095405609863,1.3265369867641739,0.41663805893162925,0.04290521592821088,ok,False,False,1.1662,1.4071,1.3174,1.2775,1.9751,-0.8052,0.4031,1.4378,1.1899,-0.1145,1.1697,-0.0524,1.0197,1.0198,1.3789,-0.7696,-1.6384,1.3705,0.0086,0.0986,0.725,-0.9375
2026-07-06_18-32_proband_10,proband_10,1783355674892,1783355704892,neutral,neutral,calm,face_ambiguous,proxy,43.12095391647391,74.40176955560024,60.75704830650447,30.555555555555557,37,0.0,ok,0.8637985996078632,-0.6551895346143247,-0.7594940671110939,False,-0.02522074849930947,-0.19075823499651315,0.49414189189189195,Sadness,1.0,148,ok,1296.4931506849316,6.108107744063605,73,ok,3636,1.459819,1.459857,0.010114,0.010114,0.007385,1.35762,1.5644,0.20678,1.459854,0.303989,0.0,0.0,False,8.447390229315799e-06,7.403896869448535e-06,1.2040995856478915e-05,1.2321481395257488e-05,4.0213764350500735e-05,0.6148906903388743,0.18411349459362036,0.0001022748903934682,1.3405892542279574,1.2993866137693397,0.41199087335042833,0.05418041804180418,ok,False,False,-1.9037,-0.8532,1.0675,1.0558,0.3152,-0.1191,0.0885,0.4082,-1.9153,0.8823,0.2068,-1.158,-0.1327,0.0601,-0.1787,-0.7043,-1.4057,1.1068,0.652,-0.8396,0.207,1.1201
2026-07-06_18-32_proband_10,proband_10,1783355704892,1783355734892,negative calm,negative,calm,clear,proxy,49.81180799987305,74.56828885400314,78.51301185072433,27.027027027027028,38,0.0,ok,1.9242866687729714,-0.5971809185063927,-1.260733793639682,False,-0.14347152708614364,-0.2229465967398293,0.5288066666666666,Sadness,1.0,150,ok,1301.763888888889,1.587744041843652,72,ok,3599,1.460014,1.459869,0.00966,0.00966,0.006722,1.370872,1.567578,0.196707,1.460046,0.286548,0.0,0.0,False,6.743074998375582e-06,8.638287291131847e-06,1.194891386390859e-05,1.2922504906316725e-05,4.0252781059732746e-05,0.7229348764734768,0.21460100020697054,9.329417872124136e-05,1.3492145481694484,1.2931674429308964,0.4075697080749302,0.053348152264517924,ok,False,False,-0.6745,-0.7996,-0.034,-0.0262,-1.0779,1.3625,0.3803,-0.6762,-0.6936,-0.2105,-0.6327,0.3983,-0.2021,0.5139,-0.1679,0.7815,0.6233,-0.0342,0.8874,-1.0545,-0.2858,0.9682
2026-07-06_18-32_proband_10,proband_10,1783355734892,1783355764892,neutral,negative,neutral,hrv_ambiguous,proxy,39.7971206346742,75.82055801270327,48.84076515979275,24.324324324324326,38,0.0263,ok,0.33697713626311815,-0.1609407854554092,-0.24895896085926367,False,-0.15276649790394206,-0.22604927291047278,0.5359266666666668,Sadness,1.0,150,ok,1306.125,0.8547711991035387,72,ok,3587,1.459953,1.459819,0.00938,0.009364,0.007,1.376806,1.569114,0.192308,1.459983,0.314557,0.0,0.0,False,5.382379002472108e-06,8.12161122402321e-06,1.2213150775046204e-05,1.149628368683152e-05,3.721342468837304e-05,0.6649889703833215,0.2182441168419688,8.795673043859474e-05,1.366719538265666,1.2759220378308316,0.40821962693098995,0.05045999442431001,ok,False,False,-1.059,-1.0229,-0.7133,-0.7317,-0.4938,2.0259,0.5213,-1.1497,-1.0945,1.5444,-1.303,-0.2531,-0.0031,-0.5629,-1.0082,-0.0153,0.8657,-0.7123,1.365,-1.6505,-0.2134,0.4412
2026-07-06_18-32_proband_10,proband_10,1783355764892,1783355794892,neutral,neutral,activated,face_ambiguous,proxy,29.231831964486933,81.34320575659609,44.52475088414922,13.157894736842104,39,0.0,ok,-1.3376016906490307,1.7629272343322009,1.550264462490616,False,-0.03359306211356594,-0.1467583510343241,0.4894900662251656,Neutral,1.0,151,ok,1331.6527777777778,17.668432678141954,72,ok,3604,1.460367,1.460243,0.009775,0.009773,0.006989,1.360196,1.57069,0.210494,1.4604,0.295587,0.0,0.0,False,6.462092373342675e-06,8.391130904252363e-06,1.3130050382721173e-05,1.3547800941698592e-05,4.15310746020148e-05,0.6390782990609531,0.20204463242568374,9.552448160886676e-05,1.3208075275108415,1.3058090130504802,0.4098950172185842,0.04772475027746948,ok,False,False,1.5507,0.871,0.245,0.2431,-0.5169,0.1689,0.666,0.808,1.559,0.3559,-0.7711,0.0867,0.6871,0.9859,0.1855,-0.3716,-0.2124,0.2491,0.1122,-0.6177,-0.0266,-0.058
2026-07-06_18-32_proband_10,proband_10,1783355794892,1783355824892,neutral,positive,neutral,hrv_ambiguous,proxy,36.47060820932241,76.06787595084846,35.17584513514437,18.421052631578945,39,0.0,ok,-0.19026896640825902,-0.07478517785876254,0.05774189427474824,False,0.0707909698335508,-0.07336728212021773,0.50586,Neutral,1.0,150,ok,1348.605633802817,4.350628438150177,71,ok,3576,1.460031,1.459966,0.009364,0.009361,0.006546,1.353671,1.55041,0.196738,1.460061,0.308252,0.0,0.0,False,4.911939278610142e-06,7.838182063042597e-06,1.1203787611979243e-05,1.1448364134802605e-05,3.540227308843459e-05,0.699601030910375,0.22140334949847804,8.766137654178026e-05,1.3581584579378654,1.2753946620424843,0.4109934212692345,0.05564876957494407,ok,False,False,-0.5673,-0.3663,-0.7521,-0.7388,-1.4477,-0.5606,-1.1961,-0.6728,-0.5981,1.1494,-1.5347,-0.6104,-0.763,-0.599,-1.509,0.4606,1.076,-0.7499,1.1314,-1.6687,0.0958,1.388
2026-07-06_18-32_proband_10,proband_10,1783355824892,1783355854892,neutral,positive,neutral,hrv_ambiguous,proxy,35.111790581481856,74.76635514018692,37.323820377442175,13.513513513513514,38,0.0,ok,-0.4056390618451731,-0.5281826025793177,-0.06127177036707229,False,0.07281246003471273,-0.08756195435148574,0.5142885906040268,Neutral,1.0,149,ok,1246.6027397260275,64.31103666427788,73,ok,3610,1.460049,1.460164,0.010023,0.01002,0.007809,1.348222,1.555998,0.207776,1.460084,0.272098,0.0,0.0,False,1.0367891963260045e-05,9.219215539677907e-06,1.1764381395093118e-05,1.3235227537402161e-05,4.458671643543323e-05,0.7836548685737391,0.2067704480157887,0.00010043403801611789,1.287591046154243,1.3355696645644672,0.4199004891262688,0.04404432132963989,ok,False,False,-0.4539,0.5182,0.8468,0.8318,1.2061,-1.1698,-0.683,0.5154,-0.4518,-1.1158,1.1529,1.1308,-0.341,0.7499,1.0303,1.6165,0.1021,0.8729,-0.7942,0.4108,1.0887,-0.7296
